Month,Mkt (vwretd),SMB,HML,Risk-Free,CAP1RET,CAP2RET,CAP3RET,CAP4RET,CAP5RET,CAP6RET,CAP7RET,CAP8RET,CAP9RET,CAP10RET
19961031,0.0151,-0.041,0.048,0.0042,-0.01848,-0.00446,-0.00188,0.01178,0.0133,0.00358,-0.01636,0.00891,0.00608,0.02475
19961129,0.0625,-0.0357,0.0015,0.0041,0.02985,0.01339,0.0262,0.04464,0.02624,0.03228,0.03056,0.04686,0.06006,0.07303
19961231,-0.0182,0.0315,0.0095,0.0046,-0.00143,0.02632,0.01622,0.01892,0.02335,0.02609,0.01815,0.01067,-0.00307,-0.02088
19970131,0.0448,-0.0151,-0.0234,0.0045,0.0852,0.05168,0.04399,0.02693,0.02822,0.01934,0.03525,0.0148,0.02515,0.05749
19970228,0.0069,-0.0254,0.047,0.0039,0.00202,-0.00246,0.00803,0.00533,0.00708,-0.00795,-0.00605,0.00559,0.00264,0.01369
19970331,-0.0446,-0.0029,0.0387,0.0043,-0.03972,-0.03325,-0.02498,-0.0252,-0.02717,-0.02689,-0.03692,-0.03656,-0.0314,-0.04283
19970430,0.0404,-0.0517,-0.0105,0.0043,-0.0341,-0.01369,-0.01556,-0.00776,-0.00322,0.00624,0.01308,0.01508,0.01448,0.05549
19970530,0.0582,0.0472,-0.0431,0.0049,0.06792,0.05772,0.05434,0.06849,0.07575,0.0843,0.08892,0.0788,0.06908,0.05941
19970630,0.0432,0.015,0.0065,0.0037,0.04884,0.06261,0.05059,0.05307,0.05743,0.05159,0.05824,0.03559,0.03498,0.04867
19970731,0.0663,-0.0244,-0.0042,0.0043,0.04616,0.0544,0.04894,0.03818,0.03404,0.04219,0.04693,0.0523,0.07398,0.07403
19970829,-0.0477,0.0743,0.0106,0.0041,0.04495,0.02769,0.00885,0.0229,0.01,0.01553,0.01225,0.00393,-0.00975,-0.05747
19970930,0.0534,0.0268,-0.0023,0.0044,0.06874,0.09859,0.06571,0.05469,0.06325,0.06274,0.06491,0.05589,0.05771,0.05721
19971031,-0.0344,-0.0085,0.0227,0.0042,-0.00894,-0.03577,-0.03261,-0.02826,-0.0309,-0.0305,-0.04374,-0.03706,-0.04308,-0.02708
19971128,0.0326,-0.05,0.0094,0.0039,-0.01439,-0.02331,-0.00687,-0.01424,-0.00933,-0.01293,-0.0004,0.01307,0.01412,0.04642
19971231,0.0205,-0.0233,0.0379,0.0048,-0.00217,0.00124,0.02471,0.01953,0.0212,0.02149,0.01535,0.0369,0.02591,0.02519
19980130,-0.0052,-0.0102,-0.0181,0.0043,0.03271,0.01726,0.00909,-0.00474,0.00152,-0.01238,-0.0115,-0.01924,-0.01412,0.00283
19980227,0.0647,0.0024,-0.0077,0.0039,0.03831,0.03164,0.03248,0.04371,0.0421,0.05446,0.06059,0.07889,0.07119,0.06906
19980331,0.0504,-0.0122,0.0163,0.0039,0.03864,0.03566,0.02399,0.03999,0.02642,0.03937,0.04028,0.0469,0.04976,0.05696
19980430,0.0052,0.0044,0.0032,0.0043,0.02878,0.00655,0.00266,0.00879,0.00577,0.00643,-0.00091,-0.00112,-0.00031,0.01219
19980529,-0.0231,-0.0357,0.0425,0.004,-0.02371,-0.02589,-0.03148,-0.03832,-0.03447,-0.0338,-0.03138,-0.03694,-0.0367,-0.01406
19980630,0.0211,-0.0325,-0.019,0.0041,-0.03424,0.06547,-0.02313,-0.0219,-0.01059,-0.0136,-0.00718,-0.00378,0.00155,0.03373
19980731,-0.0295,-0.0485,-0.0119,0.004,-0.01365,-0.03613,-0.04192,-0.03483,-0.05108,-0.06494,-0.07111,-0.06748,-0.05534,-0.0157
19980831,-0.1524,-0.0557,0.0511,0.0043,-0.17066,-0.18964,-0.1481,-0.15028,-0.14503,-0.17706,-0.17408,-0.16054,-0.1739,-0.14239
19980930,0.0453,-0.0018,-0.0377,0.0046,0.00165,0.07543,0.03001,0.03705,0.04655,0.05692,0.03704,0.05069,0.05316,0.04989
19981030,0.0779,-0.0319,-0.0276,0.0032,0.00607,0.05672,0.01342,0.02179,0.01276,0.02952,0.04187,0.04075,0.07556,0.08824
19981130,0.0500,0.0118,-0.035,0.0031,0.02613,0.05601,0.03439,0.0299,0.04848,0.03512,0.03016,0.03873,0.03732,0.05724
19981231,0.0446,-0.0025,-0.0482,0.0038,-0.00226,-0.03755,0.00551,0.01379,0.0313,0.03131,0.03406,0.04349,0.04341,0.05093
19990129,0.0093,0.0079,-0.0545,0.0035,0.07751,0.04667,0.01231,0.00658,-0.01838,-0.02074,-0.02221,-0.03972,-0.02755,0.02196
19990226,-0.0276,-0.0558,0.0165,0.0035,-0.03519,-0.02324,-0.03727,-0.04496,-0.05049,-0.07334,-0.05925,-0.04627,-0.03137,-0.02023
19990331,0.0244,-0.0376,-0.0295,0.0043,-0.04044,-0.01617,-0.0028,-0.00381,0.00028,0.00801,0.01223,0.02124,0.00846,0.03257
19990430,0.0493,0.0307,0.025,0.0037,0.0902,0.09108,0.0757,0.09466,0.10106,0.10006,0.10309,0.08857,0.09021,0.04477
19990528,-0.0219,0.0366,0.0273,0.0034,0.06051,0.02302,0.01193,-0.00141,0.0112,0.03408,0.02105,0.00804,-0.0025,-0.02392
19990630,0.0384,0.0329,-0.0404,0.004,0.02525,0.03582,0.02833,0.02681,0.03703,0.03609,0.03656,0.03591,0.03018,0.04451
19990730,-0.0382,0.0223,0.0062,0.0038,0.01923,-0.00823,0.00902,-0.01412,-0.01987,-0.01012,-0.01775,-0.01781,-0.02928,-0.03704
19990831,-0.0261,-0.0131,-0.0094,0.0039,-0.01549,-0.03551,-0.02018,-0.02718,-0.03287,-0.02862,-0.03579,-0.03879,-0.04218,-0.01859
19990930,-0.0338,0.0323,-0.0304,0.0039,0.02929,-0.04541,-0.02009,-0.00007,-0.00788,-0.01784,-0.0062,-0.04612,-0.03167,-0.03016
